epochs,embed_dim,model,test_word,similar_word,similarity_score
10,300,CBOW,science,scientific,0.5358
10,300,CBOW,university,universitys,0.7948
10,300,CBOW,university,graduate,0.5642
10,300,CBOW,university,univeristy,0.5493
10,300,CBOW,university,sociology,0.5409
10,300,CBOW,university,professor,0.5341
10,300,CBOW,student,students,0.585
10,300,CBOW,student,graduate,0.5751
10,300,CBOW,student,undergraduates,0.5662
10,300,CBOW,student,teacher,0.5652
10,300,CBOW,student,undergraduate,0.5488
10,600,Skip-gram,king,revmartin,0.4215
10,600,Skip-gram,king,luther,0.3822
10,600,Skip-gram,king,sir,0.3476
10,600,Skip-gram,king,taufaahau,0.3437
10,600,Skip-gram,king,kings,0.3376
10,600,Skip-gram,queen,elizabeth,0.5428
10,600,Skip-gram,queen,iis,0.5296
10,600,Skip-gram,queen,jubilee,0.5183
10,600,Skip-gram,queen,majesty,0.4989
10,600,Skip-gram,queen,monarch,0.4951
10,600,Skip-gram,man,woman,0.7407
10,600,Skip-gram,man,boy,0.5451
10,600,Skip-gram,man,girl,0.516
10,600,Skip-gram,man,teenager,0.5078
10,600,Skip-gram,man,person,0.46
10,600,Skip-gram,woman,man,0.7407
10,600,Skip-gram,woman,girl,0.6048
10,600,Skip-gram,woman,teenager,0.5346
10,600,Skip-gram,woman,boy,0.5057
10,600,Skip-gram,woman,womans,0.4711
10,600,Skip-gram,computer,computers,0.6446
10,600,Skip-gram,computer,laptop,0.5209
10,600,Skip-gram,computer,software,0.5044
10,600,Skip-gram,computer,desktop,0.4414
10,600,Skip-gram,computer,encryption,0.4307
10,600,Skip-gram,science,mathematics,0.5776
10,600,Skip-gram,science,biology,0.5614
10,600,Skip-gram,science,psychology,0.5025
10,600,Skip-gram,science,physics,0.4921
10,600,Skip-gram,science,astronomy,0.4704
10,600,Skip-gram,university,universitys,0.7214
10,600,Skip-gram,university,professor,0.6167
10,600,Skip-gram,university,sociology,0.5823
10,600,Skip-gram,university,yale,0.5586
10,600,Skip-gram,university,graduate,0.538
10,600,Skip-gram,student,graduate,0.5162
10,600,Skip-gram,student,students,0.5046
10,600,Skip-gram,student,undergraduate,0.4652
10,600,Skip-gram,student,teacher,0.4443
10,600,Skip-gram,student,grad,0.4425
10,600,CBOW,king,alshayji,0.433
10,600,CBOW,king,halimah,0.4305
10,600,CBOW,king,kings,0.398
10,600,CBOW,king,stockwood,0.3814
10,600,CBOW,king,dymally,0.3797
10,600,CBOW,queen,princess,0.4518
10,600,CBOW,queen,monarch,0.4361
10,600,CBOW,queen,macheka,0.3833
10,600,CBOW,queen,griffinhall,0.3724
10,600,CBOW,queen,olten,0.3688
10,600,CBOW,man,woman,0.7556
10,600,CBOW,man,person,0.5933
10,600,CBOW,man,teenager,0.5708
10,600,CBOW,man,men,0.5128
10,600,CBOW,man,guy,0.5113
10,600,CBOW,woman,man,0.7556
10,600,CBOW,woman,girl,0.6365
10,600,CBOW,woman,teenager,0.62
10,600,CBOW,woman,person,0.5745
10,600,CBOW,woman,boy,0.5085
10,600,CBOW,computer,computers,0.648
10,600,CBOW,computer,laptop,0.4366
10,600,CBOW,computer,software,0.4306
10,600,CBOW,computer,encryption,0.3815
10,600,CBOW,computer,pcs,0.3768
10,600,CBOW,science,mathematics,0.4832
10,600,CBOW,science,physics,0.466
10,600,CBOW,science,psychology,0.4556
10,600,CBOW,science,scientist,0.4493
10,600,CBOW,science,neuroscience,0.4327
10,600,CBOW,university,universitys,0.744
10,600,CBOW,university,univeristy,0.4914
10,600,CBOW,university,graduate,0.4463
10,600,CBOW,university,sociology,0.4406
10,600,CBOW,university,criminology,0.4175
10,600,CBOW,student,students,0.5419
10,600,CBOW,student,graduate,0.4556
10,600,CBOW,student,cuny,0.4351
10,600,CBOW,student,undergraduate,0.4336
10,600,CBOW,student,undergraduates,0.4262
3,300,Skip-gram,king,vi,0.496
3,300,Skip-gram,king,revmartin,0.4726
3,300,Skip-gram,king,luther,0.4672
3,300,Skip-gram,king,letsie,0.4533
3,300,Skip-gram,king,lear,0.4529
3,300,Skip-gram,queen,princess,0.6457
3,300,Skip-gram,queen,hrh,0.5818
3,300,Skip-gram,queen,majesty,0.5606
3,300,Skip-gram,queen,elizabeth,0.5466
3,300,Skip-gram,queen,monarch,0.5239
3,300,Skip-gram,man,woman,0.6564
3,300,Skip-gram,man,boy,0.5411
3,300,Skip-gram,man,teenager,0.5319
3,300,Skip-gram,man,burglar,0.4926
3,300,Skip-gram,man,pensioner,0.4833
